question ids,question,id
Q0029,Find me a portable projector under $33 for movie nights; built-in speaker is non-negotiable and compact body is preferred.,19
Q0030,"I’d rather get the upgraded option for portable projector. Budget is $34-$46, and I need built-in speaker for movie nights. Which product matches?",20
Q0031,"I need an air fryer for reheating and lower-oil cooking. I care about digital timer and 6-quart basket, preferably with 8 qt capacity. What matches?","21,22"
Q0032,"My budget is under $86. I need an air fryer for reheating, with digital timer and 6-quart basket. What is the best match?",21
Q0033,I can spend around $87-$109 on an air fryer for reheating. I want digital timer and 6-quart basket. Which one falls in that range?,22
Q0034,"What would you recommend for meal prep if I want an 8-inch chef knife with protective sheath, ergonomic handle, and an option with a 10 in blade?","23,24"
Q0035,I don't want to spend over $39 on an 8-inch chef knife. It should handle meal prep and include protective sheath. What do you have?,23
Q0036,Need the more premium option for 8-inch chef knife for meal prep. Target budget $40-$52; must include protective sheath. What fits?,24
Q0037,Looking for a drip coffee maker mainly for morning coffee. It needs 12-cup carafe and brew-strength control; I’d also like it with 8-cup capacity. Which products fit?,"25,26"
Q0038,"I have about $63 max for drip coffee maker. The important parts are 12-cup carafe and brew-strength control, mostly for morning coffee. Which product should I look at?",25
Q0039,Which drip coffee maker priced in the $64-$81 range is best for morning coffee if 12-cup carafe and brew-strength control matter?,26
Q0040,Do you have a temperature-control kettle suitable for tea that includes keep-warm mode and variable temperature settings? With 1.7 L capacity would be ideal.,"27,28"
Q0041,"Trying to keep this purchase under $51. I need a temperature-control kettle for tea, preferably with keep-warm mode and variable temperature settings.",27
Q0042,My budget for temperature-control kettle is roughly $52 to $68. It needs to work for tea and have keep-warm mode. What's the closest fit?,28
Q0043,"I'm shopping for a sleep pillow for neck support/side sleepers. Must-have features are medium-firm foam and contoured support, and I want a variant in Silver. Any good matches?","29,30"
Q0044,"Looking for a budget option: a sleep pillow for neck support, ideally with medium-firm foam, and under $36. Which one fits?",29
Q0045,I'm comparing sleep pillow options and want the one in the $37-$49 bracket with medium-firm foam and contoured support. Which is it?,30
Q0046,"Can you show me a robot vacuum that works well for apartments, has multi-surface cleaning, and also offers app control? I prefer it with 45 minutes runtime.","31,32"
Q0047,What's a budget-friendly option for robot vacuum under $47 that works for apartments and has multi-surface cleaning?,31
Q0048,"I'm not looking for the cheapest option. Show me an option for robot vacuum around $48-$62 with multi-surface cleaning, mainly for apartments.",32
Q0049,"Need something for serving: cutting boards, three sizes, knife-friendly surface. Bonus if I can get it in the Medium size. What are my options?","33,34"
Q0050,Do you have cutting boards with three sizes that stays below $35? I'll mainly use it for serving.,33
Q0051,Looking for the higher-end option for cutting boards for serving; I’m comfortable paying $36-$50 and want three sizes plus knife-friendly surface.,34
Q0052,"Which storage containers would fit someone using it for pantry organization and meal prep, especially with microwave-safe glass plus stackable design? I'd choose one in Silver.","35,36"
Q0053,Can I get storage containers for pantry organization with microwave-safe glass for no more than $37? stackable design would be useful too.,35
Q0054,Recommend an option for storage containers for pantry organization in the $38-$53 price band. microwave-safe glass is a must and stackable design would be great.,36
Q0055,"I’m trying to find a pots and pans set with tempered glass lids for everyday cooking. 10-piece set matters too, and I’d like the in the 7-piece set version.","37,38"
Q0056,"Need a pots and pans set for everyday cooking, but my ceiling is $110. I still want tempered glass lids and 10-piece set. Any match?",37
Q0057,"For pots and pans set, I can go up to about $144 but want to spend at least $111 for the nicer version. It should have tempered glass lids and 10-piece set.",38
Q0058,"Any bath towels for guest rooms that checks these boxes: machine washable, absorbent cotton, and availability in Navy?","39,40"
Q0059,Find me bath towels under $32 for guest rooms; machine washable is non-negotiable and absorbent cotton is preferred.,39
Q0060,"I’d rather get the upgraded option for bath towels. Budget is $33-$41, and I need machine washable for guest rooms. Which product matches?",40
Q0061,"I need a unisex hoodie for cool weather and casual wear. I care about midweight cotton blend and adjustable drawstring, preferably in the XL size. What matches?","41,42"
Q0062,"My budget is under $44. I need a unisex hoodie for cool weather, with midweight cotton blend and adjustable drawstring. What is the best match?",41
Q0063,I can spend around $45-$57 on a unisex hoodie for cool weather. I want midweight cotton blend and adjustable drawstring. Which one falls in that range?,42
Q0064,"What would you recommend for work if I want men's chinos with tapered leg, machine washable, and an option in the XL size?","43,44"
Q0065,I don't want to spend over $47 on men's chinos. It should handle work and include tapered leg. What do you have?,43
Q0066,Need the more premium option for men's chinos for work. Target budget $48-$62; must include tapered leg. What fits?,44
Q0067,Looking for women's leggings mainly for yoga. It needs high-rise waistband and four-way stretch; I’d also like it in the XL size. Which products fit?,"45,46"
Q0068,"I have about $38 max for women's leggings. The important parts are high-rise waistband and four-way stretch, mostly for yoga. Which product should I look at?",45
Q0069,Which women's leggings priced in the $39-$51 range is best for yoga if high-rise waistband and four-way stretch matter?,46
Q0070,Do you have an insulated jacket suitable for mild winter that includes packable design and synthetic insulation? In the XXL size would be ideal.,"47,48"
Q0071,"Trying to keep this purchase under $73. I need an insulated jacket for mild winter, preferably with packable design and synthetic insulation.",47
Q0072,My budget for insulated jacket is roughly $74 to $95. It needs to work for mild winter and have packable design. What's the closest fit?,48
Q0073,"I'm shopping for a leather belt for jeans/chinos. Must-have features are full-grain leather and reinforced stitching, and I want a variant in the 30-44 in size. Any good matches?","49,50"
Q0074,"Looking for a budget option: a leather belt for jeans, ideally with full-grain leather, and under $29. Which one fits?",49
Q0075,I'm comparing leather belt options and want the one in the $30-$40 bracket with full-grain leather and reinforced stitching. Which is it?,50
Q0076,"Can you show me casual sneakers that works well for walking, has cushioned insole, and also offers breathable canvas upper? I prefer it in the US 6-13 size.","51,52"
Q0077,What's a budget-friendly option for casual sneakers under $58 that works for walking and has cushioned insole?,51
Q0078,"I'm not looking for the cheapest option. Show me an option for casual sneakers around $59-$78 with cushioned insole, mainly for walking.",52
Q0079,"Need something for outdoor use: sunglasses, metal frame, UV400 lenses. Bonus if I can get it in Navy. What are my options?","53,54"
Q0080,Do you have sunglasses with metal frame that stays below $36? I'll mainly use it for outdoor use.,53
Q0081,Looking for the higher-end option for sunglasses for outdoor use; I’m comfortable paying $37-$49 and want metal frame plus UV400 lenses.,54
Q0082,"Which wool socks would fit someone using it for hiking and commuting, especially with temperature regulation plus reinforced heel and toe? I'd choose one in Black.","55,56"
Q0083,Can I get wool socks for hiking with temperature regulation for no more than $36? reinforced heel and toe would be useful too.,55
Q0084,Recommend an option for wool socks for hiking in the $37-$47 price band. temperature regulation is a must and reinforced heel and toe would be great.,56
Q0085,"I’m trying to find a compact bag with adjustable strap for commuting. hidden pocket matters too, and I’d like the in Navy version.","57,58"
Q0086,"Need a compact bag for commuting, but my ceiling is $34. I still want adjustable strap and hidden pocket. Any match?",57
Q0087,"For compact bag, I can go up to about $48 but want to spend at least $35 for the nicer version. It should have adjustable strap and hidden pocket.",58
Q0088,"Any analog watch for daily wear that checks these boxes: scratch-resistant mineral glass, stainless steel case, and availability in Silver?","59,60"
Q0089,Find me an analog watch under $36 for daily wear; scratch-resistant mineral glass is non-negotiable and stainless steel case is preferred.,59
Q0090,"I’d rather get the upgraded option for analog watch. Budget is $37-$44, and I need scratch-resistant mineral glass for daily wear. Which product matches?",60
Q0091,"I need a facial serum for dull skin and hydration. I care about fragrance-free formula and 10% vitamin C, preferably in the 1 oz size. What matches?","61,62"
Q0092,"My budget is under $22. I need a facial serum for dull skin, with fragrance-free formula and 10% vitamin C. What is the best match?",61
Q0093,I can spend around $23-$28 on a facial serum for dull skin. I want fragrance-free formula and 10% vitamin C. Which one falls in that range?,62
Q0094,"What would you recommend for smoothing if I want a flat iron with swivel cord, ceramic plates, and an option with the 1.5 in plate width option?","63,64"
Q0095,I don't want to spend over $42 on a flat iron. It should handle smoothing and include swivel cord. What do you have?,63
Q0096,Need the more premium option for flat iron for smoothing. Target budget $43-$55; must include swivel cord. What fits?,64
Q0097,Looking for an electric toothbrush mainly for sensitive gums. It needs five brushing modes and rechargeable battery; I’d also like it in Pink. Which products fit?,"65,66"
Q0098,"I have about $37 max for electric toothbrush. The important parts are five brushing modes and rechargeable battery, mostly for sensitive gums. Which product should I look at?",65
Q0099,Which electric toothbrush priced in the $38-$50 range is best for sensitive gums if five brushing modes and rechargeable battery matter?,66
Q0100,Do you have a body moisturizer suitable for dry skin that includes shea butter and fragrance-free? In the 1 oz size would be ideal.,"67,68"
Q0101,"Trying to keep this purchase under $19. I need a body moisturizer for dry skin, preferably with shea butter and fragrance-free.",67
Q0102,My budget for body moisturizer is roughly $20 to $27. It needs to work for dry skin and have shea butter. What's the closest fit?,68
Q0103,"I'm shopping for a beard trimmer for stubble/grooming. Must-have features are cordless use and precision dial, and I want a variant with the 1-10 mm comb lengths option. Any good matches?","69,70"
Q0104,"Looking for a budget option: a beard trimmer for stubble, ideally with cordless use, and under $38. Which one fits?",69
Q0105,I'm comparing beard trimmer options and want the one in the $39-$51 bracket with cordless use and precision dial. Which is it?,70
Q0106,"Can you show me a face sunscreen that works well for sensitive skin, has water resistance, and also offers zinc oxide? I prefer it in the 4 oz size.","71,72"
Q0107,What's a budget-friendly option for face sunscreen under $20 that works for sensitive skin and has water resistance?,71
Q0108,"I'm not looking for the cheapest option. Show me an option for face sunscreen around $21-$28 with water resistance, mainly for sensitive skin.",72
Q0109,"Need something for sleep: a sleep mask, mulberry silk surface, adjustable strap. Bonus if I can get it in Black. What are my options?","73,74"
Q0110,Do you have a sleep mask with mulberry silk surface that stays below $38? I'll mainly use it for sleep.,73
Q0111,Looking for the higher-end option for sleep mask for sleep; I’m comfortable paying $39-$49 and want mulberry silk surface plus adjustable strap.,74
Q0112,"Which hair towel would fit someone using it for long hair and reducing drying time, especially with button loop closure plus quick-drying microfiber? I'd choose one in Navy.","75,76"
Q0113,Can I get a hair towel for long hair with button loop closure for no more than $34? quick-drying microfiber would be useful too.,75
Q0114,Recommend an option for hair towel for long hair in the $35-$45 price band. button loop closure is a must and quick-drying microfiber would be great.,76
Q0115,"I’m trying to find a cleansing device with waterproof body for travel. soft silicone bristles matters too, and I’d like the in Silver version.","77,78"
Q0116,"Need a cleansing device for travel, but my ceiling is $33. I still want waterproof body and soft silicone bristles. Any match?",77
Q0117,"For cleansing device, I can go up to about $46 but want to spend at least $34 for the nicer version. It should have waterproof body and soft silicone bristles.",78
Q0118,"Any aroma diffuser for bedrooms that checks these boxes: auto shutoff, ultrasonic mist, and availability in Black?","79,80"
Q0119,Find me an aroma diffuser under $38 for bedrooms; auto shutoff is non-negotiable and ultrasonic mist is preferred.,79
Q0120,"I’d rather get the upgraded option for aroma diffuser. Budget is $39-$53, and I need auto shutoff for bedrooms. Which product matches?",80
Q0121,"I need a water bottle for hiking and commuting. I care about 32-ounce capacity and leakproof lid, preferably with 40 oz capacity. What matches?","81,82"
Q0122,"My budget is under $29. I need a water bottle for hiking, with 32-ounce capacity and leakproof lid. What is the best match?",81
Q0123,I can spend around $30-$38 on a water bottle for hiking. I want 32-ounce capacity and leakproof lid. Which one falls in that range?,82
Q0124,"What would you recommend for small spaces if I want adjustable dumbbells with non-slip handles, compact footprint, and an option with the 10-90 lb per dumbbell weight ranges option?","83,84"
Q0125,I don't want to spend over $110 on adjustable dumbbells. It should handle small spaces and include non-slip handles. What do you have?,83
Q0126,Need the more premium option for adjustable dumbbells for small spaces. Target budget $111-$141; must include non-slip handles. What fits?,84
Q0127,Looking for an exercise mat mainly for yoga. It needs carrying strap and 6 mm cushioning; I’d also like it with the Standard length option. Which products fit?,"85,86"
Q0128,"I have about $31 max for exercise mat. The important parts are carrying strap and 6 mm cushioning, mostly for yoga. Which product should I look at?",85
Q0129,Which exercise mat priced in the $32-$40 range is best for yoga if carrying strap and 6 mm cushioning matter?,86
Q0130,Do you have a daypack suitable for travel that includes rain-resistant fabric and breathable back panel? With 30 L capacity would be ideal.,"87,88"
Q0131,"Trying to keep this purchase under $60. I need a daypack for travel, preferably with rain-resistant fabric and breathable back panel.",87
Q0132,My budget for daypack is roughly $61 to $76. It needs to work for travel and have rain-resistant fabric. What's the closest fit?,88
Q0133,"I'm shopping for exercise bands for strength training/home workouts. Must-have features are five resistance levels and ankle straps, and I want a variant in the 3-band set. Any good matches?","89,90"
Q0134,"Looking for a budget option: exercise bands for strength training, ideally with five resistance levels, and under $26. Which one fits?",89
Q0135,I'm comparing exercise bands options and want the one in the $27-$36 bracket with five resistance levels and ankle straps. Which is it?,90
Q0136,"Can you show me a camping light that works well for camping, has rechargeable battery, and also offers power-bank function? I prefer it using Battery power.","91,92"
Q0137,What's a budget-friendly option for camping light under $35 that works for camping and has rechargeable battery?,91
Q0138,"I'm not looking for the cheapest option. Show me an option for camping light around $36-$46 with rechargeable battery, mainly for camping.",92
Q0139,"Need something for stretching: a recovery roller, textured surface, high-density foam. Bonus if I can get it with the 18 in lengths option. What are my options?","93,94"
Q0140,Do you have a recovery roller with textured surface that stays below $28? I'll mainly use it for stretching.,93
Q0141,Looking for the higher-end option for recovery roller for stretching; I’m comfortable paying $29-$39 and want textured surface plus high-density foam.,94
Q0142,"Which pickleball set would fit someone using it for doubles play and beginners, especially with carry bag plus four balls? I'd choose one in Silver.","95,96"
Q0143,Can I get a pickleball set for doubles play with carry bag for no more than $39? four balls would be useful too.,95
Q0144,Recommend an option for pickleball set for doubles play in the $40-$50 price band. carry bag is a must and four balls would be great.,96
Q0145,"I’m trying to find a jump rope with adjustable rope length for cardio. jump counter matters too, and I’d like the with the Adjustable up to 9 ft length option version.","97,98"
Q0146,"Need a jump rope for cardio, but my ceiling is $20. I still want adjustable rope length and jump counter. Any match?",97
Q0147,"For jump rope, I can go up to about $25 but want to spend at least $21 for the nicer version. It should have adjustable rope length and jump counter.",98
Q0148,"Any binoculars for sports events that checks these boxes: 25 mm objective lenses, neck strap, and availability in Navy?","99,100"
Q0149,Find me binoculars under $37 for sports events; 25 mm objective lenses is non-negotiable and neck strap is preferred.,99
Q0150,"I’d rather get the upgraded option for binoculars. Budget is $38-$48, and I need 25 mm objective lenses for sports events. Which product matches?",100
Q0151,"I need a notebook for study notes and journaling. I care about ribbon marker and 192 ruled pages, preferably in Burgundy. What matches?","101,102"
Q0152,"My budget is under $16. I need a notebook for study notes, with ribbon marker and 192 ruled pages. What is the best match?",101
Q0153,I can spend around $17-$20 on a notebook for study notes. I want ribbon marker and 192 ruled pages. Which one falls in that range?,102
Q0154,"What would you recommend for school if I want pens with comfortable grips, quick-dry ink, and an option in Black?","103,104"
Q0155,I don't want to spend over $12 on pens. It should handle school and include comfortable grips. What do you have?,103
Q0156,Need the more premium option for pens for school. Target budget $13-$20; must include comfortable grips. What fits?,104
Q0157,Looking for a laptop stand mainly for remote work. It needs aluminum construction and ventilated design; I’d also like it with the Fixed height option. Which products fit?,"105,106"
Q0158,"I have about $36 max for laptop stand. The important parts are aluminum construction and ventilated design, mostly for remote work. Which product should I look at?",105
Q0159,Which laptop stand priced in the $37-$45 range is best for remote work if aluminum construction and ventilated design matter?,106
Q0160,Do you have a document organizer suitable for office organization that includes compact footprint and steel mesh construction? In Silver would be ideal.,"107,108"
Q0161,"Trying to keep this purchase under $25. I need a document organizer for office organization, preferably with compact footprint and steel mesh construction.",107
Q0162,My budget for document organizer is roughly $26 to $32. It needs to work for office organization and have compact footprint. What's the closest fit?,108
Q0163,"I'm shopping for a paper planner for planning/productivity. Must-have features are habit tracker and undated weekly layout, and I want a variant in the A5 size. Any good matches?","109,110"
Q0164,"Looking for a budget option: a paper planner for planning, ideally with habit tracker, and under $20. Which one fits?",109
Q0165,I'm comparing paper planner options and want the one in the $21-$26 bracket with habit tracker and undated weekly layout. Which is it?,110
Q0166,"Can you show me a desk light that works well for studying, has flexible arm, and also offers adjustable color temperature? I prefer it in Navy.","111,112"
Q0167,What's a budget-friendly option for desk light under $42 that works for studying and has flexible arm?,111
Q0168,"I'm not looking for the cheapest option. Show me an option for desk light around $43-$55 with flexible arm, mainly for studying.",112
Q0169,"Need something for planning: a monthly planner board, dry-erase surface, markers included. Bonus if I can get it in the 36x48 in size. What are my options?","113,114"
Q0170,Do you have a monthly planner board with dry-erase surface that stays below $30? I'll mainly use it for planning.,113
Q0171,Looking for the higher-end option for monthly planner board for planning; I’m comfortable paying $31-$44 and want dry-erase surface plus markers included.,114
Q0172,"Which seat cushion would fit someone using it for desk chairs and cars, especially with non-slip base plus coccyx cutout? I'd choose one in Black.","115,116"
Q0173,Can I get a seat cushion for desk chairs with non-slip base for no more than $35? coccyx cutout would be useful too.,115
Q0174,Recommend an option for seat cushion for desk chairs in the $36-$50 price band. non-slip base is a must and coccyx cutout would be great.,116
Q0175,"I’m trying to find a shipping label printer with direct thermal printing for shipping. 4x6 label support matters too, and I’d like the in Navy version.","117,118"
Q0176,"Need a shipping label printer for shipping, but my ceiling is $35. I still want direct thermal printing and 4x6 label support. Any match?",117
Q0177,"For shipping label printer, I can go up to about $45 but want to spend at least $36 for the nicer version. It should have direct thermal printing and 4x6 label support.",118
Q0178,"Any portable scanner for paper digitization that checks these boxes: OCR-ready output, automatic document feeder, and availability in Silver?","119,120"
Q0179,Find me a portable scanner under $34 for paper digitization; OCR-ready output is non-negotiable and automatic document feeder is preferred.,119
Q0180,"I’d rather get the upgraded option for portable scanner. Budget is $35-$45, and I need OCR-ready output for paper digitization. Which product matches?",120
Q0181,"I need a pet feeder for cats and small dogs. I care about programmable meal times and battery backup, preferably with 3 L capacity. What matches?","121,122"
Q0182,"My budget is under $60. I need a pet feeder for cats, with programmable meal times and battery backup. What is the best match?",121
Q0183,I can spend around $61-$85 on a pet feeder for cats. I want programmable meal times and battery backup. Which one falls in that range?,122
Q0184,"What would you recommend for joint support if I want a dog bed with washable cover, raised bolsters, and an option in the XL size?","123,124"
Q0185,I don't want to spend over $53 on a dog bed. It should handle joint support and include washable cover. What do you have?,123
Q0186,Need the more premium option for dog bed for joint support. Target budget $54-$69; must include washable cover. What fits?,124
Q0187,Looking for a pet fountain mainly for multi-pet homes. It needs replaceable filter and 2.5-liter capacity; I’d also like it with 2 L capacity. Which products fit?,"125,126"
Q0188,"I have about $39 max for pet fountain. The important parts are replaceable filter and 2.5-liter capacity, mostly for multi-pet homes. Which product should I look at?",125
Q0189,Which pet fountain priced in the $40-$52 range is best for multi-pet homes if replaceable filter and 2.5-liter capacity matter?,126
Q0190,Do you have dog harness suitable for walking that includes adjustable straps and padded chest? In the XL size would be ideal.,"127,128"
Q0191,"Trying to keep this purchase under $30. I need dog harness for walking, preferably with adjustable straps and padded chest.",127
Q0192,My budget for dog harness is roughly $31 to $46. It needs to work for walking and have adjustable straps. What's the closest fit?,128
Q0193,"I'm shopping for a pet puzzle for enrichment/slow feeding. Must-have features are sliding pieces and multiple treat compartments, and I want a variant in Navy. Any good matches?","129,130"
Q0194,"Looking for a budget option: a pet puzzle for enrichment, ideally with sliding pieces, and under $21. Which one fits?",129
Q0195,I'm comparing pet puzzle options and want the one in the $22-$33 bracket with sliding pieces and multiple treat compartments. Which is it?,130
Q0196,"Can you show me a pet brush that works well for shedding control, has ergonomic handle, and also offers one-touch hair release? I prefer it in Silver.","131,132"
Q0197,What's a budget-friendly option for pet brush under $33 that works for shedding control and has ergonomic handle?,131
Q0198,"I'm not looking for the cheapest option. Show me an option for pet brush around $34-$46 with ergonomic handle, mainly for shedding control.",132
Q0199,"Need something for cats: a pet carrier, padded shoulder strap, airline-friendly size. Bonus if I can get it in the Small size. What are my options?","133,134"
Q0200,Do you have a pet carrier with padded shoulder strap that stays below $34? I'll mainly use it for cats.,133
Q0201,Looking for the higher-end option for pet carrier for cats; I’m comfortable paying $35-$47 and want padded shoulder strap plus airline-friendly size.,134
Q0202,"Which litter mat would fit someone using it for floor protection and cleanup, especially with waterproof base plus double-layer trapping design? I'd choose one in the XL size.","135,136"
Q0203,Can I get a litter mat for floor protection with waterproof base for no more than $26? double-layer trapping design would be useful too.,135
Q0204,Recommend an option for litter mat for floor protection in the $27-$34 price band. waterproof base is a must and double-layer trapping design would be great.,136
Q0205,"I’m trying to find a dog toy with textured surface for dental play. treat-fillable center matters too, and I’d like the in the Large size version.","137,138"
Q0206,"Need a dog toy for dental play, but my ceiling is $16. I still want textured surface and treat-fillable center. Any match?",137
Q0207,"For dog toy, I can go up to about $23 but want to spend at least $17 for the nicer version. It should have textured surface and treat-fillable center.",138
Q0208,"Any grooming kit for shedding dogs that checks these boxes: grooming attachments, adjustable suction, and availability in the Large-Pet size?","139,140"
Q0209,Find me a grooming kit under $26 for shedding dogs; grooming attachments is non-negotiable and adjustable suction is preferred.,139
Q0210,"I’d rather get the upgraded option for grooming kit. Budget is $27-$35, and I need grooming attachments for shedding dogs. Which product matches?",140
Q0211,"I need a construction toy for STEM learning and ages 3+. I care about geometric shapes and 100 colorful magnetic pieces, preferably in the 64-piece set. What matches?","141,142"
Q0212,"My budget is under $35. I need a construction toy for STEM learning, with geometric shapes and 100 colorful magnetic pieces. What is the best match?",141
Q0213,I can spend around $36-$46 on a construction toy for STEM learning. I want geometric shapes and 100 colorful magnetic pieces. Which one falls in that range?,142
Q0214,"What would you recommend for strategy fans if I want a family board game with 45-minute play time, 2-4 players, and an option with the 2-6 players option?","143,144"
Q0215,I don't want to spend over $32 on a family board game. It should handle strategy fans and include 45-minute play time. What do you have?,143
Q0216,Need the more premium option for family board game for strategy fans. Target budget $33-$43; must include 45-minute play time. What fits?,144
Q0217,Looking for a RC truck mainly for outdoor play. It needs 2.4 GHz remote and shock-resistant tires; I’d also like it in Red. Which products fit?,"145,146"
Q0218,"I have about $48 max for RC truck. The important parts are 2.4 GHz remote and shock-resistant tires, mostly for outdoor play. Which product should I look at?",145
Q0219,Which RC truck priced in the $49-$66 range is best for outdoor play if 2.4 GHz remote and shock-resistant tires matter?,146
Q0220,Do you have a toddler activity toy suitable for motor skills that includes bead maze and counting blocks? In the Large size would be ideal.,"147,148"
Q0221,"Trying to keep this purchase under $44. I need a toddler activity toy for motor skills, preferably with bead maze and counting blocks.",147
Q0222,My budget for toddler activity toy is roughly $45 to $57. It needs to work for motor skills and have bead maze. What's the closest fit?,148
Q0223,"I'm shopping for a jigsaw puzzle for relaxing hobbies/adults. Must-have features are reference poster included and matte finish, and I want a variant in the 500 set. Any good matches?","149,150"
Q0224,"Looking for a budget option: a jigsaw puzzle for relaxing hobbies, ideally with reference poster included, and under $21. Which one fits?",149
Q0225,I'm comparing jigsaw puzzle options and want the one in the $22-$32 bracket with reference poster included and matte finish. Which is it?,150
Q0226,"Can you show me an art kit that works well for drawing, has colored pencils, and also offers markers? I prefer it in Black.","151,152"
Q0227,What's a budget-friendly option for art kit under $34 that works for drawing and has colored pencils?,151
Q0228,"I'm not looking for the cheapest option. Show me an option for art kit around $35-$47 with colored pencils, mainly for drawing.",152
Q0229,"Need something for outdoor games: a toy blaster, two blasters, rotating drums. Bonus if I can get it in Navy. What are my options?","153,154"
Q0230,Do you have a toy blaster with two blasters that stays below $38? I'll mainly use it for outdoor games.,153
Q0231,Looking for the higher-end option for toy blaster for outdoor games; I’m comfortable paying $39-$49 and want two blasters plus rotating drums.,154
Q0232,"Which stuffed animal would fit someone using it for imaginative play and gifts, especially with washable surface plus embroidered features? I'd choose one in the 20 in size.","155,156"
Q0233,Can I get a stuffed animal for imaginative play with washable surface for no more than $24? embroidered features would be useful too.,155
Q0234,Recommend an option for stuffed animal for imaginative play in the $25-$33 price band. washable surface is a must and embroidered features would be great.,156
Q0235,"I’m trying to find a science kit with 30 guided experiments for STEM learning. illustrated manual matters too, and I’d like the in Black version.","157,158"
Q0236,"Need a science kit for STEM learning, but my ceiling is $37. I still want 30 guided experiments and illustrated manual. Any match?",157
Q0237,"For science kit, I can go up to about $48 but want to spend at least $38 for the nicer version. It should have 30 guided experiments and illustrated manual.",158
Q0238,"Any chess set for travel that checks these boxes: storage compartments, weighted pieces, and availability in Navy?","159,160"
Q0239,Find me a chess set under $35 for travel; storage compartments is non-negotiable and weighted pieces is preferred.,159
Q0240,"I’d rather get the upgraded option for chess set. Budget is $36-$45, and I need storage compartments for travel. Which product matches?",160
Q0241,"I need an air compressor for roadside emergencies and cars. I care about digital pressure display and 12V power, preferably rated for up to 100 PSI. What matches?","161,162"
Q0242,"My budget is under $53. I need an air compressor for roadside emergencies, with digital pressure display and 12V power. What is the best match?",161
Q0243,I can spend around $54-$71 on an air compressor for roadside emergencies. I want digital pressure display and 12V power. Which one falls in that range?,162
Q0244,"What would you recommend for daily driving if I want a car camera with wide-angle lens, parking monitor, and an option at 1080p resolution?","163,164"
Q0245,I don't want to spend over $73 on a car camera. It should handle daily driving and include wide-angle lens. What do you have?,163
Q0246,Need the more premium option for car camera for daily driving. Target budget $74-$100; must include wide-angle lens. What fits?,164
